location_type,location_name,lat,long,case_count
health_facility,Ace Dumaguete Doctors Inc,9.3174478,123.2962081,0
health_facility,Adventist Medical Center - Manila,14.5557606,120.9954585,1
health_facility,Asian Hospital and Medical Center,14.4134655,121.0435335,5
health_facility,Bataan St. Joseph Hospital and Medical Center,14.6814952,120.541595,1
health_facility,Cardinal Santos Medical Center,14.5977862,121.0455347,10
health_facility,Chinese General Hospital and Medical Center,14.6256963,120.9884896,2
health_facility,Davao Regional Medical Center,7.4212841,125.8288327,1
health_facility,Diliman Doctors Hospital,14.6684416,121.0760803,4
health_facility,Dr. Jose N. Rodriguez Memorial Hospital and Sanitarium,14.7661019,121.0633624,2
health_facility,East Avenue Medical Center,14.6421672,121.0478702,1
health_facility,Fatima University Medical Center,14.6780548,120.9802868,1
health_facility,Jose B. Lingad Memorial Regional Hospital,15.034531,120.6846579,3
health_facility,Las Piñas General Hospital and Satellite Trauma Center,14.4716706,120.973806,1
health_facility,Lorma Medical Center,16.6315149,120.3178716,0
health_facility,Lung Center of the Philippines,14.6472039,121.0458653,4
health_facility,Makati Medical Center,14.5594041,121.014414,13
health_facility,Manila Doctors Hospital,14.5820218,120.9826523,5
health_facility,Marikina Valley Medical Center,14.6347295,121.1039907,2
health_facility,Northern Mindanao Medical Center,8.4858824,124.6494494,1
health_facility,Ortigas Hospital and Health Care Center,14.5857555,121.1178153,1
health_facility,Our Lady of Lourdes Hospital,14.5949547,121.0225571,2
health_facility,Our Lady of Mt. Carmel Medical Center,15.0960589,120.6243491,1
health_facility,Philippine Heart Center,14.6440237,121.0481304,2
health_facility,Qualimed - Sta. Rosa Hospital,14.2326603,121.0526422,1
health_facility,Quezon City Health Department (Reporting Facility),14.6461516,121.0522997,2
health_facility,Quirino Memorial Medical Center,14.6222558,121.0728482,2
health_facility,Research Institute for Tropical Medicine,14.4099136,121.0371637,26
health_facility,Rizal Medical Center,14.5642422,121.0659489,2
health_facility,San Juan de Dios Educational Foundation Inc. Hospital,14.538517,120.99309,1
health_facility,San Lazaro Hospital,14.6137701,120.9809964,12
health_facility,Silang Specialists Medical Center,14.2346765,120.9728166,1
health_facility,St. Luke's Medical Center - Global City,14.554928,121.048202,16
health_facility,St. Luke's Medical Center - Quezon City,14.6225309,121.0232333,18
health_facility,Santa Ana Hospital,14.5836328,121.0164213,3
health_facility,The Medical City - Ortigas,14.5895426,121.0692699,23
health_facility,University of Sto. Tomas Hospital,14.6114265,120.9902019,2
health_facility,University of the East Ramon Magsaysay Memorial Medical Center,14.6069139,121.0203692,2
health_facility,Veterans Memorial Medical Center,14.6561184,121.0400556,1
health_facility,RESU-NCR (Reporting Facility),14.585333,121.03593,2
health_facility,Cotabato Regional and Medical Center,7.200448,124.236274,1
health_facility,FEU - Dr. Nicanor Reyes Medical Foundation,14.6986356,121.0671184,1
health_facility,Ilocos Training and Regional Medical Center,16.5912333,120.3178371,1
health_facility,Makati Health Department,14.5699766,121.0265194,2
health_facility,Medical Center Manila,14.582445,120.985603,1
health_facility,Metropolitan Medical Center,14.6096397,120.9784934,1
health_facility,Siliman University Medical Center,9.3164808,123.3035823,1
health_facility,Victor R. Potenciano Medical Center,14.5770225,121.0500827,2
residence,Abra,17.5970543,120.6185684,1
residence,Antipolo City,14.5861633,121.1759318,1
residence,Bataan,14.6759667,120.527279,1
residence,Batangas,13.765128,121.064226,3
residence,Bulacan,14.856719,120.814568,4
residence,Caloocan,14.6488664,120.9884525,4
residence,Camarines Sur,13.5966857,123.2492093,1
residence,Cavite,14.2798784,120.864752,4
residence,Davao de Oro,7.5755018,125.9928346,1
residence,Laguna,14.2766383,121.4172872,1
residence,Lanao del Sur,8.0095939,124.2778743,1
residence,Las Pinas City,14.4496701,120.9825933,2
residence,Lucena City,13.94935612,121.629,1
residence,Makati City,14.5546336,121.0156802,14
residence,Mandaluyong City,14.5777334,121.0336589,6
residence,Manila,14.6121619,120.9787303,8
residence,Marikina City,14.6482098,121.1056509,6
residence,Muntinlupa City,14.395036,121.044177,2
residence,Negros Oriental,9.3129297,123.3021299,2
residence,Pampanga,15.0239001,120.6872413,3
residence,Paranaque City,14.4705872,121.0222712,5
residence,Pasay City,14.543747,120.99492,2
residence,Pasig City,14.5770795,121.0870273,11
residence,Quezon City,14.6517392,121.0489884,26
residence,Rizal,14.5861472,121.1670703,6
residence,San Juan City,14.6022849,121.0306215,19
residence,Taguig,14.5288962,121.0677753,3
residence,Tarlac,15.480361,120.5880749,1
residence_province,Abra,17.5970543,120.6185684,1
residence_province,Bataan,14.6759667,120.527279,1
residence_province,Batangas,13.765128,121.064226,3
residence_province,Bulacan,14.856719,120.814568,4
residence_province,Caloocan,14.6488664,120.9884525,4
residence_province,Camarines Sur,13.5966857,123.2492093,1
residence_province,Cavite,14.2798784,120.864752,4
residence_province,Davao de Oro,7.5755018,125.9928346,1
residence_province,Laguna,14.2766383,121.4172872,1
residence_province,Lanao del Sur,8.0095939,124.2778743,1
residence_province,Las Piñas,14.4496701,120.9825933,2
residence_province,Makati City,14.5546336,121.0156802,14
residence_province,Mandaluyong,14.5777334,121.0336589,6
residence_province,Manila,14.6121619,120.9787303,8
residence_province,Marikina,14.6482098,121.1056509,6
